Barrier_Key,Geography_Key,Time_Key,Water_Volume
41,16,76,885
3,26,91,927
30,26,55,191
42,22,20,734
50,9,45,340
47,7,78,501
49,12,90,200
15,10,68,420
4,24,91,611
10,2,34,554
38,20,44,261
20,13,64,318
15,20,8,280
43,3,3,202
37,25,71,609
24,24,64,610
27,19,6,970
6,23,84,571
23,15,66,324
43,16,47,969
34,4,93,816
28,3,34,107
45,25,56,914
42,10,94,999
30,8,31,595
43,17,64,424
44,9,80,797
45,12,21,709
39,19,64,852
49,20,54,441
20,15,78,924
32,1,80,912
41,10,76,743
12,18,85,899
23,23,12,542
37,26,34,120
28,26,22,185
30,5,56,755
40,24,83,842
12,12,81,589
40,20,94,653
8,11,9,846
46,24,37,766
25,10,50,691
35,22,33,419
23,19,80,766
41,17,34,223
40,20,40,125
24,25,6,189
49,9,8,163
39,19,87,502
27,21,46,995
9,17,90,123
35,20,87,455
42,17,62,724
28,16,81,254
23,11,67,116
29,6,42,885
46,10,76,427
27,5,51,220
2,18,23,817
19,11,30,926
39,12,45,592
44,15,95,435
13,5,42,908
17,13,76,300
34,4,83,960
35,2,39,225
17,22,77,172
3,15,25,948
47,8,84,186
19,10,15,238
15,11,37,716
12,1,77,336
43,14,96,758
7,15,45,222
7,3,40,722
16,14,64,975
9,12,51,732
5,25,71,714
25,10,55,793
14,26,28,281
3,26,74,919
12,14,93,452
18,5,87,762
28,5,10,736
29,21,69,555
12,14,62,788
48,3,48,296
45,19,30,566
43,20,82,538
17,21,80,111
1,9,23,527
13,3,63,992
21,21,34,810
36,24,24,370
17,2,56,755
5,12,3,554
32,4,28,180
45,25,1,451
